-29.9870,-2.688705590e-2,2.286434076e-1
-29.9000,-8.332955055e-3,2.432178169e-1
-29.8000,1.515183251e-2,2.445211033e-1
-29.7000,3.157611919e-2,2.347554201e-1
-29.6000,3.951896381e-2,2.208763278e-1
-29.5000,4.009039868e-2,2.068230475e-1
-29.4000,3.462524940e-2,1.949579828e-1
-29.3000,2.447647761e-2,1.872390565e-1
-29.2000,1.167918372e-2,1.856228514e-1
-29.1000,-3.170995696e-4,1.912642871e-1
-28.9870,7.675745441e-1,-5.106977327e-1
-28.9000,7.140653202e-1,-5.005244341e-1
-28.8000,6.785174855e-1,-4.635841084e-1
-28.7000,6.707112051e-1,-4.246267581e-1
-28.6000,6.796744423e-1,-3.933845170e-1
-28.5000,6.985154582e-1,-3.719429810e-1
-28.4000,7.232030201e-1,-3.612625914e-1
-28.3000,7.500949559e-1,-3.629128785e-1
-28.2000,7.735988891e-1,-3.783708792e-1
-28.1000,7.854892953e-1,-4.056724118e-1
-27.9870,-4.072653010e-2,2.016539805e-1
-27.9000,-3.240997626e-2,2.312583301e-1
-27.8000,-6.016577345e-3,2.490319158e-1
-27.7000,1.928961109e-2,2.469086666e-1
-27.6000,3.546499836e-2,2.346700164e-1
-27.5000,4.243898532e-2,2.192553687e-1
-27.4000,4.180034678e-2,2.043213461e-1
-27.3000,3.500262646e-2,1.920838410e-1
-27.2000,2.346500286e-2,1.845108501e-1
-27.1000,9.326276349e-3,1.835560017e-1
-26.9870,8.384840900e-1,-4.899480748e-1
-26.9000,7.716328367e-1,-5.247133800e-1
-26.8000,7.007885195e-1,-5.049125524e-1
-26.7000,6.690201920e-1,-4.603068817e-1
-26.6000,6.654284178e-1,-4.187377777e-1
-26.5000,6.777644498e-1,-3.869301036e-1
-26.4000,6.993798121e-1,-3.658384171e-1
-26.3000,7.265290644e-1,-3.562259112e-1
-26.2000,7.555431617e-1,-3.598395840e-1
-26.1000,7.805665964e-1,-3.782797712e-1
-25.9870,-3.272127975e-2,1.669292765e-1
-25.9000,-4.821889646e-2,1.997784196e-1
-25.8000,-3.415237697e-2,2.396382628e-1
-25.7000,-2.502464388e-3,2.545153952e-1
-25.6000,2.397760865e-2,2.488332246e-1
-25.5000,3.954644460e-2,2.341548646e-1
-25.4000,4.536798007e-2,2.172781681e-1
-25.3000,4.341685108e-2,2.015342157e-1
-25.2000,3.524162984e-2,1.889731639e-1
-25.1000,2.228153811e-2,1.814220322e-1
-24.9870,8.820940484e-1,-4.121624944e-1
-24.9000,8.552297376e-1,-4.999456727e-1
-24.8000,7.590692647e-1,-5.409754919e-1
-24.7000,6.864922981e-1,-5.065818533e-1
-24.6000,6.596284059e-1,-4.555528776e-1
-24.5000,6.605406889e-1,-4.120471349e-1
-24.4000,6.763090627e-1,-3.800024683e-1
-24.3000,7.007238068e-1,-3.594383650e-1
-24.2000,7.303598193e-1,-3.509701924e-1
-24.1000,7.617805820e-1,-3.563565316e-1
-23.9870,-4.068392086e-3,1.450298894e-1
-23.9000,-3.733065101e-2,1.599168301e-1
-23.8000,-5.699502576e-2,2.065793537e-1
-23.7000,-3.415803571e-2,2.487743052e-1
-23.6000,2.104519430e-3,2.597431438e-1
-23.5000,2.913657361e-2,2.502627740e-1
-23.4000,4.376416074e-2,2.331941920e-1
-23.3000,4.827457077e-2,2.149517913e-1
-23.2000,4.496651744e-2,1.984748535e-1
-23.1000,3.547968045e-2,1.854770685e-1
-22.9870,8.592826206e-1,-3.273368944e-1
-22.9000,9.023200731e-1,-4.057985034e-1
-22.8000,8.585517385e-1,-5.283156670e-1
-22.7000,7.421590040e-1,-5.548257353e-1
-22.6000,6.713175297e-1,-5.058694284e-1
-22.5000,6.505036987e-1,-4.494591579e-1
-22.4000,6.561269652e-1,-4.046345418e-1
-22.3000,6.753249424e-1,-3.726541859e-1
-22.2000,7.024786884e-1,-3.527171840e-1
-22.1000,7.346710051e-1,-3.450592071e-1
-21.9870,2.860410301e-2,1.425104688e-1
-21.9000,-3.476148291e-3,1.373448203e-1
-21.8000,-4.936609041e-2,1.583707139e-1
-21.7000,-6.508508411e-2,2.159401715e-1
-21.6000,-3.245610834e-2,2.586348206e-1
-21.5000,7.727680333e-3,2.645636705e-1
-21.4000,3.468163929e-2,2.511341362e-1
-21.3000,4.806281335e-2,2.317865216e-1
-21.2000,5.117467937e-2,2.123105475e-1
-21.1000,4.664653843e-2,1.950606336e-1
-20.9870,8.014022283e-1,-2.803402811e-1
-20.9000,8.685527049e-1,-3.115840218e-1
-20.8000,9.290574615e-1,-4.222451431e-1
-20.7000,8.550709497e-1,-5.604628945e-1
-20.6000,7.212274732e-1,-5.660335603e-1
-20.5000,6.557300437e-1,-5.027769235e-1
-20.4000,6.418467939e-1,-4.421281963e-1
-20.3000,6.522394825e-1,-3.965920785e-1
-20.2000,6.747238653e-1,-3.649097917e-1
-20.1000,7.044404534e-1,-3.452788134e-1
-19.9870,5.625793925e-2,1.528353655e-1
-19.9000,3.223220818e-2,1.368460981e-1
-19.8000,-1.085027199e-2,1.294590837e-1
-19.7000,-6.337434416e-2,1.586676127e-1
-19.6000,-7.235089798e-2,2.281447008e-1
-19.5000,-2.888902851e-2,2.688950991e-1
-19.4000,1.428020620e-2,2.687854699e-1
-19.3000,4.051814093e-2,2.514093806e-1
-19.2000,5.243068401e-2,2.299836833e-1
-19.1000,5.430150552e-2,2.093528022e-1
-18.9870,7.410072831e-1,-2.657121184e-1
-18.9000,8.015960194e-1,-2.656783170e-1
-18.8000,8.938358346e-1,-3.057354796e-1
-18.7000,9.575288834e-1,-4.465848856e-1
-18.6000,8.434150326e-1,-5.961830080e-1
-18.5000,6.969581746e-1,-5.736630656e-1
-18.4000,6.402431900e-1,-4.973072067e-1
-18.3000,6.338151736e-1,-4.337059120e-1
-18.2000,6.487939436e-1,-3.880173020e-1
-18.1000,6.741523598e-1,-3.564543199e-1
-17.9870,7.788293135e-2,1.705801847e-1
-17.9000,6.116906015e-2,1.491887144e-1
-17.8000,2.991655168e-2,1.280602734e-1
-17.7000,-1.991685168e-2,1.213179808e-1
-17.6000,-8.014784975e-2,1.611847517e-1
-17.5000,-7.803822576e-2,2.433130860e-1
-17.4000,-2.331987403e-2,2.791136753e-1
-17.3000,2.162674081e-2,2.722516361e-1
-17.2000,4.657962821e-2,2.511417161e-1
-17.1000,5.711607838e-2,2.278801773e-1
-16.9870,6.862790199e-1,-2.697318626e-1
-16.9000,7.369015767e-1,-2.540798198e-1
-16.8000,8.161503318e-1,-2.521562500e-1
-16.7000,9.235280002e-1,-3.011045754e-1
-16.6000,9.886459587e-1,-4.819066084e-1
-16.5000,8.215206125e-1,-6.333832051e-1
-16.4000,6.703743606e-1,-5.768047320e-1
-16.3000,6.253287474e-1,-4.896163776e-1
